gyroX,gyroY,gyroZ,accelX,accelY,accelZ
 -1.82, 0.76, -0.79,0.07, 0.09, 1.02
 -1.80, 0.98, -0.62,0.08, 0.09, 1.01
 -1.82, 0.90, -0.74,0.07, 0.09, 1.02
 -1.94, 1.02, -0.82,0.07, 0.09, 1.02
 -1.76, 0.83, -0.72,0.07, 0.09, 1.02
 -1.96, 0.91, -0.65,0.08, 0.09, 1.01
 -2.16, 1.08, -0.86,0.07, 0.09, 1.03
 -1.97, 0.98, -0.85,0.07, 0.09, 1.03
 -1.88, 0.98, -0.77,0.07, 0.09, 1.02
 -2.01, 0.96, -0.92,0.08, 0.09, 1.02
 -1.83, 1.00, -0.88,0.07, 0.08, 1.02
 -1.89, 0.76, -0.97,0.07, 0.09, 1.02
 -1.67, 0.89, -0.81,0.08, 0.09, 1.02
 -2.16, 0.82, -0.73,0.07, 0.09, 1.02
 -2.09, 0.85, -0.74,0.08, 0.09, 1.02
 -1.89, 0.92, -0.73,0.08, 0.09, 1.02
 -1.97, 0.85, -0.65,0.07, 0.09, 1.02
 -1.94, 0.93, -0.79,0.07, 0.09, 1.01
 -2.19, 0.95, -0.56,0.08, 0.09, 1.01
 -1.79, 0.71, -0.61,0.07, 0.09, 1.02
 -1.73, 0.97, -0.82,0.07, 0.09, 1.03
 -2.05, 0.92, -0.71,0.07, 0.09, 1.03
 -2.00, 1.00, -0.92,0.07, 0.09, 1.02
 -1.97, 0.80, -0.92,0.07, 0.09, 1.01
 -1.87, 0.89, -0.95,0.07, 0.10, 1.02
 -1.98, 0.96, -0.95,0.08, 0.08, 1.02
 -1.97, 0.78, -0.85,0.07, 0.09, 1.02
 -1.84, 0.86, -0.78,0.08, 0.08, 1.01
 -1.85, 1.03, -0.72,0.08, 0.09, 1.03
 -1.99, 0.95, -0.69,0.08, 0.09, 1.02
 -2.00, 0.88, -0.60,0.07, 0.08, 1.04
 -2.03, 0.92, -0.44,0.08, 0.10, 1.02
 -1.73, 0.79, -0.86,0.07, 0.09, 1.02
 -1.79, 0.81, -0.63,0.08, 0.09, 1.01
 -2.01, 0.83, -0.56,0.07, 0.10, 1.02
 -1.76, 1.11, -0.76,0.07, 0.09, 1.02
 -1.92, 0.79, -0.82,0.07, 0.09, 1.02
 -2.01, 0.82, -0.80,0.08, 0.09, 1.02
 -1.95, 0.90, -0.94,0.07, 0.09, 1.02
 -1.93, 1.02, -0.90,0.07, 0.09, 1.03
 -2.08, 0.90, -0.92,0.07, 0.09, 1.02
 -1.94, 0.97, -0.79,0.07, 0.09, 1.02
 -1.83, 0.82, -0.68,0.08, 0.09, 1.03
 -2.10, 1.09, -0.66,0.07, 0.10, 1.02
 -1.95, 1.16, -0.74,0.07, 0.09, 1.02
 -2.08, 0.92, -0.69,0.08, 0.09, 1.02
 -2.16, 0.63, -0.63,0.08, 0.09, 1.03
 -1.98, 1.25, -0.83,0.08, 0.09, 1.02
 -1.79, 0.79, -0.98,0.08, 0.09, 1.02
 -2.13, 0.84, -0.91,0.07, 0.09, 1.03
 -1.82, 0.94, -0.95,0.07, 0.09, 1.02
 -1.95, 0.83, -0.91,0.07, 0.09, 1.03
 -1.79, 0.88, -0.94,0.08, 0.09, 1.02
 -1.73, 0.72, -0.78,0.07, 0.09, 1.02
 -2.17, 0.80, -0.85,0.07, 0.09, 1.02
 -1.85, 0.88, -0.70,0.07, 0.09, 1.02
 -2.07, 0.90, -0.79,0.07, 0.09, 1.02
 -1.92, 0.88, -0.69,0.07, 0.09, 1.02
 -1.97, 0.86, -0.71,0.09, 0.09, 1.03
 -1.98, 0.83, -0.79,0.07, 0.09, 1.02
 -1.78, 0.90, -0.56,0.07, 0.09, 1.02
 -1.89, 0.84, -0.64,0.07, 0.09, 1.02
 -1.94, 1.02, -0.85,0.07, 0.09, 1.02
 -1.99, 0.80, -0.90,0.07, 0.10, 1.02
 -1.98, 0.94, -0.92,0.08, 0.09, 1.02
 -1.96, 0.98, -0.79,0.07, 0.09, 1.01
 -1.88, 0.96, -0.73,0.07, 0.09, 1.01
 -1.88, 0.96, -0.78,0.07, 0.10, 1.02
 -1.86, 0.78, -0.64,0.07, 0.09, 1.01
 -1.79, 0.96, -0.76,0.08, 0.09, 1.03
 -2.21, 0.91, -0.69,0.07, 0.09, 1.02
 -2.12, 0.64, -0.50,0.07, 0.10, 1.03
 -2.11, 0.97, -0.60,0.07, 0.09, 1.02
 -1.94, 0.89, -0.60,0.08, 0.09, 1.02
 -1.82, 0.99, -0.85,0.07, 0.09, 1.02
 -2.06, 1.04, -0.94,0.08, 0.10, 1.03
 -2.19, 1.11, -0.85,0.07, 0.09, 1.02
 -1.90, 1.05, -0.94,0.07, 0.09, 1.03
 -1.98, 0.74, -0.82,0.07, 0.09, 1.03
 -2.00, 0.95, -0.91,0.08, 0.08, 1.02
 -2.07, 0.67, -0.82,0.07, 0.09, 1.02
 -1.97, 1.01, -0.78,0.07, 0.09, 1.02
 -1.98, 0.76, -0.58,0.07, 0.08, 1.03
 -1.83, 1.04, -0.76,0.08, 0.08, 1.03
 -2.10, 1.04, -0.57,0.08, 0.10, 1.03
 -1.88, 0.77, -0.79,0.07, 0.09, 1.02
 -1.94, 1.05, -0.79,0.07, 0.09, 1.02
 -2.06, 0.92, -0.79,0.07, 0.09, 1.02
 -1.78, 0.80, -0.95,0.07, 0.10, 1.02
 -1.92, 0.87, -0.96,0.07, 0.08, 1.02
 -1.85, 1.03, -0.79,0.08, 0.09, 1.02
 -2.08, 0.87, -0.70,0.08, 0.09, 1.02
 -1.96, 0.94, -0.67,0.08, 0.09, 1.02
 -1.97, 0.96, -0.76,0.07, 0.09, 1.02
 -1.96, 0.98, -0.79,0.07, 0.09, 1.03
 -1.87, 1.05, -0.75,0.07, 0.09, 1.02
 -2.05, 0.88, -0.67,0.07, 0.09, 1.03
 -1.85, 0.84, -0.76,0.07, 0.09, 1.03
 -1.89, 0.99, -0.74,0.07, 0.09, 1.02
 -2.02, 0.85, -0.63,0.07, 0.09, 1.03
 -1.98, 0.88, -0.76,0.07, 0.09, 1.03
 -1.98, 1.00, -0.76,0.07, 0.09, 1.01
 -1.90, 0.83, -0.83,0.07, 0.10, 1.03
